Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	-35.078178	-339.548065	1008.703064	21.087530	-343.492157	1011.792175	-54.736511	-312.413116	964.201050	-0.888539	-316.139099	967.104553	7.431992	-252.409531	865.770508	187.518677	-427.937927	1223.316772	200.033249	-445.219879	1195.648682	150.068161	-386.328491	1238.960938	194.249619	-450.681244	1144.762451	145.533569	-389.240326	1188.924683
2	0.0100	-35.077793	-339.548248	1008.703369	21.087841	-343.492493	1011.791870	-54.736115	-312.410492	964.202332	-0.888201	-316.139526	967.104187	7.432106	-252.409164	865.770020	187.615036	-427.753082	1223.271362	200.134613	-445.089142	1195.597534	150.149551	-386.113281	1238.893433	194.349152	-450.610962	1144.704102	145.610992	-389.163330	1188.871582
3	0.0200	-35.077427	-339.548401	1008.703613	21.088135	-343.492798	1011.791565	-54.735733	-312.407898	964.203552	-0.887880	-316.139954	967.103821	7.432211	-252.408813	865.769531	187.706451	-427.574005	1223.227295	200.231445	-444.961395	1195.547852	150.225327	-385.906250	1238.828125	194.444412	-450.541107	1144.647705	145.684296	-389.087646	1188.819824
4	0.0300	-35.077084	-339.548584	1008.703857	21.088411	-343.493134	1011.791321	-54.735371	-312.405304	964.204834	-0.887576	-316.140381	967.103455	7.432307	-252.408463	865.769043	187.792908	-427.400726	1223.184326	200.323746	-444.836639	1195.499634	150.295486	-385.707397	1238.765137	194.535385	-450.471619	1144.593018	145.753464	-389.013245	1188.769531
5	0.0400	-35.076756	-339.548767	1008.704102	21.088667	-343.493469	1011.791077	-54.735023	-312.402740	964.206055	-0.887288	-316.140808	967.103149	7.432393	-252.408127	865.768616	187.874435	-427.233215	1223.142700	200.411530	-444.714905	1195.453003	150.360046	-385.516693	1238.704346	194.622070	-450.402496	1144.540283	145.818512	-388.940125	1188.720581
6	0.0500	-35.076450	-339.548950	1008.704346	21.088907	-343.493805	1011.790771	-54.734692	-312.400177	964.207275	-0.887017	-316.141205	967.102783	7.432471	-252.407791	865.768127	187.951004	-427.071472	1223.102173	200.494797	-444.596130	1195.407959	150.418991	-385.334137	1238.645874	194.704483	-450.333771	1144.489380	145.879440	-388.868286	1188.672974
7	0.0600	-35.076164	-339.549133	1008.704590	21.089127	-343.494141	1011.790527	-54.734379	-312.397644	964.208435	-0.886762	-316.141632	967.102417	7.432539	-252.407471	865.767700	188.022659	-426.915527	1223.063110	200.573547	-444.480377	1195.364380	150.472336	-385.159698	1238.589722	194.782608	-450.265442	1144.440430	145.936249	-388.797760	1188.626831
8	0.0700	-35.075897	-339.549347	1008.704834	21.089331	-343.494507	1011.790283	-54.734081	-312.395142	964.209656	-0.886524	-316.142059	967.102112	7.432598	-252.407150	865.767212	188.089371	-426.765320	1223.025146	200.647781	-444.367554	1195.322388	150.520081	-384.993408	1238.535767	194.856445	-450.197479	1144.393188	145.988922	-388.728485	1188.582153
9	0.0800	-35.075653	-339.549530	1008.705017	21.089514	-343.494843	1011.790039	-54.733799	-312.392639	964.210815	-0.886302	-316.142487	967.101746	7.432647	-252.406830	865.766785	188.151169	-426.620850	1222.988403	200.717499	-444.257721	1195.281860	150.562271	-384.835175	1238.484131	194.926010	-450.129913	1144.347900	146.037491	-388.660492	1188.538696
10	0.0900	-35.075424	-339.549744	1008.705261	21.089682	-343.495178	1011.789795	-54.733536	-312.390167	964.212036	-0.886096	-316.142914	967.101440	7.432688	-252.406525	865.766357	188.208054	-426.482086	1222.953003	200.782700	-444.150848	1195.242920	150.598923	-384.684967	1238.434692	194.991287	-450.062683	1144.304443	146.081924	-388.593781	1188.496704
11	0.1000	-35.075218	-339.549957	1008.705444	21.089828	-343.495544	1011.789551	-54.733288	-312.387695	964.213196	-0.885908	-316.143341	967.101074	7.432719	-252.406235	865.765930	188.260071	-426.348969	1222.918823	200.843414	-444.046875	1195.205566	150.630081	-384.542694	1238.387451	195.052292	-449.995819	1144.262817	146.122269	-388.528290	1188.456177
12	0.1100	-35.075035	-339.550171	1008.705688	21.089960	-343.495880	1011.789307	-54.733055	-312.385254	964.214294	-0.885735	-316.143768	967.100769	7.432741	-252.405930	865.765503	188.307251	-426.221405	1222.885864	200.899628	-443.945801	1195.169678	150.655807	-384.408295	1238.342529	195.109024	-449.929321	1144.223022	146.158493	-388.464020	1188.416992
13	0.1200	-35.074867	-339.550415	1008.705872	21.090071	-343.496246	1011.789063	-54.732838	-312.382813	964.215454	-0.885579	-316.144196	967.100403	7.432754	-252.405655	865.765076	188.349609	-426.099396	1222.854126	200.951370	-443.847565	1195.135254	150.676163	-384.281586	1238.299683	195.161484	-449.863129	1144.185059	146.190613	-388.400970	1188.379150
14	0.1300	-35.074722	-339.550629	1008.706055	21.090164	-343.496613	1011.788818	-54.732639	-312.380402	964.216614	-0.885440	-316.144623	967.100098	7.432757	-252.405365	865.764648	188.387222	-425.982758	1222.823608	200.998642	-443.752167	1195.102539	150.691269	-384.162445	1238.259033	195.209671	-449.797272	1144.149048	146.218658	-388.339050	1188.342651
15	0.1400	-35.074596	-339.550873	1008.706238	21.090240	-343.496948	1011.788635	-54.732460	-312.378021	964.217712	-0.885317	-316.145050	967.099792	7.432751	-252.405090	865.764221	188.420135	-425.871429	1222.794312	201.041489	-443.659485	1195.071167	150.701202	-384.050690	1238.220581	195.253616	-449.731689	1144.114868	146.242630	-388.278259	1188.307617
16	0.1500	-35.074490	-339.551117	1008.706421	21.090298	-343.497314	1011.788391	-54.732292	-312.375641	964.218811	-0.885211	-316.145477	967.099426	7.432736	-252.404831	865.763855	188.448410	-425.765259	1222.766357	201.079910	-443.569458	1195.041504	150.706146	-383.946106	1238.184204	195.293289	-449.666382	1144.082520	146.262543	-388.218506	1188.273926
17	0.1600	-35.074402	-339.551361	1008.706604	21.090338	-343.497681	1011.788208	-54.732143	-312.373260	964.219910	-0.885121	-316.145905	967.099121	7.432712	-252.404556	865.763428	188.472153	-425.664093	1222.739502	201.113937	-443.482025	1195.013306	150.706223	-383.848419	1238.149902	195.328735	-449.601288	1144.052002	146.278397	-388.159790	1188.241577
18	0.1700	-35.074337	-339.551605	1008.706787	21.090359	-343.498047	1011.787964	-54.732010	-312.370941	964.221008	-0.885047	-316.146332	967.098816	7.432679	-252.404312	865.763062	188.491425	-425.567780	1222.713867	201.143616	-443.397125	1194.986572	150.701630	-383.757385	1238.117554	195.359940	-449.536407	1144.023438	146.290237	-388.101990	1188.210571
